timestamp,object,confidence,x1,y1,x2,y2
2025-10-28 11:49:02,person,0.895,7,0,612,479
2025-10-28 11:49:02,person,0.752,0,206,114,453
2025-10-28 11:49:04,person,0.887,5,0,612,479
2025-10-28 11:49:04,person,0.733,0,206,113,449
2025-10-28 11:49:05,person,0.885,8,0,615,479
2025-10-28 11:49:05,person,0.668,0,207,125,446
2025-10-28 11:49:05,person,0.889,10,1,620,479
2025-10-28 11:49:05,person,0.567,0,208,119,444
2025-10-28 11:49:05,person,0.893,0,1,625,479
2025-10-28 11:49:05,person,0.604,0,205,118,455
2025-10-28 11:49:05,person,0.898,0,0,621,479
2025-10-28 11:49:05,person,0.598,0,206,118,447
2025-10-28 11:49:06,person,0.899,0,3,621,479
2025-10-28 11:49:06,person,0.632,0,209,113,445
2025-10-28 11:49:06,person,0.918,0,3,619,479
2025-10-28 11:49:06,person,0.749,0,205,107,434
2025-10-28 11:49:06,person,0.517,98,176,237,295
2025-10-28 11:49:06,person,0.904,0,0,620,479
2025-10-28 11:49:06,person,0.674,0,201,106,431
2025-10-28 11:49:07,person,0.903,0,4,613,479
2025-10-28 11:49:07,person,0.802,0,205,104,434
2025-10-28 11:49:07,person,0.907,0,0,608,479
2025-10-28 11:49:07,person,0.823,0,204,104,438
2025-10-28 11:49:07,chair,0.671,562,294,622,388
2025-10-28 11:49:07,person,0.915,0,0,619,479
2025-10-28 11:49:07,person,0.624,0,201,106,429
2025-10-28 11:49:07,chair,0.617,563,291,626,385
2025-10-28 11:49:08,person,0.91,0,2,611,479
2025-10-28 11:49:08,person,0.817,0,201,99,431
2025-10-28 11:49:08,chair,0.632,562,294,618,387
2025-10-28 11:49:08,person,0.537,97,178,233,297
2025-10-28 11:49:08,person,0.921,3,1,614,479
2025-10-28 11:49:08,person,0.792,0,200,99,427
2025-10-28 11:49:08,person,0.578,97,178,233,300
2025-10-28 11:49:08,chair,0.549,562,295,617,388
2025-10-28 11:49:08,person,0.918,1,1,619,479
2025-10-28 11:49:08,person,0.842,0,198,99,435
2025-10-28 11:49:08,person,0.896,0,2,624,479
2025-10-28 11:49:08,person,0.821,0,198,98,422
2025-10-28 11:49:09,person,0.904,0,1,619,479
2025-10-28 11:49:09,person,0.831,0,197,97,432
2025-10-28 11:49:09,chair,0.517,561,295,622,388
2025-10-28 11:49:09,person,0.899,0,1,611,479
2025-10-28 11:49:09,person,0.833,0,198,101,431
2025-10-28 11:49:09,chair,0.557,561,293,619,389
2025-10-28 11:49:09,person,0.905,0,0,622,480
2025-10-28 11:49:09,person,0.8,0,205,117,423
2025-10-28 11:49:10,person,0.905,0,0,618,479
2025-10-28 11:49:10,person,0.846,0,206,122,436
2025-10-28 11:49:10,person,0.905,0,1,615,479
2025-10-28 11:49:10,person,0.808,0,206,116,434
2025-10-28 11:49:10,person,0.883,0,1,618,479
2025-10-28 11:49:10,person,0.848,0,204,112,435
2025-10-28 11:49:10,chair,0.521,561,294,617,386
2025-10-28 11:49:11,person,0.903,0,0,613,480
2025-10-28 11:49:11,person,0.857,0,204,109,436
2025-10-28 11:49:11,chair,0.647,560,295,613,386
2025-10-28 11:49:11,person,0.887,0,0,612,479
2025-10-28 11:49:11,person,0.837,0,207,118,434
2025-10-28 11:49:11,chair,0.601,561,297,615,389
2025-10-28 11:49:11,person,0.898,1,2,621,479
2025-10-28 11:49:11,person,0.81,0,205,119,425
2025-10-28 11:49:11,chair,0.517,560,294,615,387
2025-10-28 11:49:12,person,0.9,1,3,620,479
2025-10-28 11:49:12,person,0.824,0,206,120,434
2025-10-28 11:49:12,person,0.904,0,0,617,479
2025-10-28 11:49:12,person,0.78,0,206,117,428
2025-10-28 11:49:12,chair,0.673,561,296,615,388
2025-10-28 11:49:12,person,0.921,0,0,619,479
2025-10-28 11:49:12,person,0.832,0,205,109,431
2025-10-28 11:49:12,chair,0.502,561,295,616,388
2025-10-28 11:49:12,person,0.919,1,0,612,480
2025-10-28 11:49:12,person,0.864,0,205,107,435
2025-10-28 11:49:12,chair,0.579,560,295,617,388
2025-10-28 11:49:13,person,0.906,0,3,608,479
2025-10-28 11:49:13,person,0.858,0,207,106,438
2025-10-28 11:49:13,person,0.9,0,4,605,479
2025-10-28 11:49:13,person,0.865,0,204,105,437
2025-10-28 11:49:13,chair,0.591,560,296,616,388
2025-10-28 11:49:13,person,0.903,0,3,608,479
2025-10-28 11:49:13,person,0.839,0,205,105,433
2025-10-28 11:49:13,chair,0.661,560,295,613,387
2025-10-28 11:49:14,person,0.891,1,1,590,480
2025-10-28 11:49:14,person,0.857,0,204,104,432
2025-10-28 11:49:14,chair,0.642,560,296,616,389
2025-10-28 11:49:14,person,0.908,0,0,594,479
2025-10-28 11:49:14,person,0.784,0,205,105,428
2025-10-28 11:49:14,person,0.906,0,0,595,479
2025-10-28 11:49:14,person,0.81,0,204,105,432
2025-10-28 11:49:14,chair,0.527,561,295,616,389
2025-10-28 11:49:15,person,0.896,0,0,587,480
2025-10-28 11:49:15,person,0.795,0,204,106,438
2025-10-28 11:49:15,chair,0.595,560,295,616,388
2025-10-28 11:49:15,person,0.886,2,0,592,479
2025-10-28 11:49:15,person,0.772,0,205,105,450
2025-10-28 11:49:15,chair,0.648,560,294,614,387
2025-10-28 11:49:15,person,0.566,80,171,198,306
2025-10-28 11:49:15,person,0.904,0,3,602,479
2025-10-28 11:49:15,person,0.759,0,204,105,447
2025-10-28 11:49:15,person,0.637,81,170,198,308
2025-10-28 11:49:16,person,0.899,0,3,608,479
2025-10-28 11:49:16,person,0.836,0,204,103,451
2025-10-28 11:49:16,chair,0.711,560,295,617,388
2025-10-28 11:49:16,person,0.901,0,4,599,479
2025-10-28 11:49:16,chair,0.66,560,295,616,388
2025-10-28 11:49:16,person,0.569,77,170,191,332
2025-10-28 11:49:16,person,0.562,0,204,101,416
2025-10-28 11:49:16,person,0.916,0,3,604,479
2025-10-28 11:49:16,person,0.669,0,202,99,423
2025-10-28 11:49:16,person,0.638,78,173,184,312
2025-10-28 11:49:16,chair,0.511,560,294,616,386
2025-10-28 11:49:16,person,0.915,0,4,606,478
2025-10-28 11:49:16,person,0.647,0,202,97,434
2025-10-28 11:49:16,person,0.547,78,178,187,315
2025-10-28 11:49:17,person,0.914,0,3,603,478
2025-10-28 11:49:17,chair,0.706,560,294,615,387
2025-10-28 11:49:17,person,0.63,80,180,189,324
2025-10-28 11:49:17,person,0.91,0,3,600,478
2025-10-28 11:49:17,person,0.697,0,199,92,381
2025-10-28 11:49:17,person,0.693,82,183,189,317
2025-10-28 11:49:17,person,0.919,0,3,601,478
2025-10-28 11:49:17,person,0.715,81,186,188,321
2025-10-28 11:49:17,person,0.678,0,203,93,437
2025-10-28 11:49:17,chair,0.608,560,297,618,389
2025-10-28 11:49:18,person,0.905,1,0,612,479
2025-10-28 11:49:18,person,0.677,0,200,97,421
2025-10-28 11:49:18,person,0.581,80,180,190,311
2025-10-28 11:49:18,chair,0.506,562,291,621,381
2025-10-28 11:49:18,person,0.904,2,0,609,479
2025-10-28 11:49:18,person,0.658,0,199,100,444
2025-10-28 11:49:18,person,0.553,81,180,190,313
2025-10-28 11:49:18,person,0.907,1,0,610,479
2025-10-28 11:49:18,chair,0.537,563,292,619,385
2025-10-28 11:49:19,person,0.903,0,3,617,479
2025-10-28 11:49:19,person,0.567,0,205,103,431
2025-10-28 11:49:19,chair,0.53,563,295,619,389
2025-10-28 11:49:19,person,0.515,79,187,192,323
2025-10-28 11:49:19,person,0.91,0,3,616,479
2025-10-28 11:49:19,person,0.618,79,189,193,325
2025-10-28 11:49:19,person,0.535,0,204,102,381
2025-10-28 11:49:19,person,0.897,1,0,611,479
2025-10-28 11:49:19,person,0.68,0,203,103,457
2025-10-28 11:49:19,person,0.639,83,187,192,316
2025-10-28 11:49:20,person,0.903,0,3,611,479
2025-10-28 11:49:20,person,0.542,0,204,104,425
2025-10-28 11:49:20,person,0.891,0,3,616,479
2025-10-28 11:49:20,person,0.619,0,204,104,440
2025-10-28 11:49:20,person,0.537,78,190,193,327
2025-10-28 11:49:20,person,0.894,0,0,612,479
2025-10-28 11:49:20,person,0.74,0,204,105,441
2025-10-28 11:49:20,person,0.531,82,188,193,314
2025-10-28 11:49:20,person,0.923,0,3,613,478
2025-10-28 11:49:20,person,0.509,77,188,193,332
2025-10-28 11:49:21,person,0.91,3,0,621,478
2025-10-28 11:49:21,person,0.668,0,205,104,441
2025-10-28 11:49:21,person,0.668,84,189,194,317
2025-10-28 11:49:21,chair,0.62,563,297,622,390
2025-10-28 11:49:21,person,0.922,0,0,617,479
2025-10-28 11:49:21,person,0.501,0,202,104,381
2025-10-28 11:49:21,person,0.909,2,1,610,478
2025-10-28 11:49:21,person,0.701,83,185,199,320
2025-10-28 11:49:21,person,0.586,0,205,105,442
2025-10-28 11:49:22,person,0.903,1,3,621,479
2025-10-28 11:49:22,chair,0.525,563,295,621,389
2025-10-28 11:49:22,person,0.511,0,206,116,419
2025-10-28 11:49:22,person,0.895,2,1,611,478
2025-10-28 11:49:22,chair,0.696,563,297,620,391
2025-10-28 11:49:22,person,0.528,0,208,120,378
2025-10-28 11:49:22,person,0.896,1,0,612,478
2025-10-28 11:49:22,person,0.687,0,206,119,446
2025-10-28 11:49:22,chair,0.576,562,296,622,390
2025-10-28 11:49:23,person,0.915,3,0,626,479
2025-10-28 11:49:23,person,0.763,0,208,118,452
2025-10-28 11:49:23,person,0.537,73,182,199,334
2025-10-28 11:49:23,person,0.922,1,0,621,478
2025-10-28 11:49:23,person,0.773,0,207,118,459
2025-10-28 11:49:23,person,0.926,3,0,620,478
2025-10-28 11:49:23,person,0.714,0,209,119,454
2025-10-28 11:49:23,person,0.519,83,186,199,330
2025-10-28 11:49:23,person,0.914,1,1,614,477
2025-10-28 11:49:23,person,0.51,0,208,119,445
2025-10-28 11:49:24,person,0.931,2,0,611,478
2025-10-28 11:49:24,person,0.606,0,206,119,440
2025-10-28 11:49:24,person,0.927,2,1,619,478
2025-10-28 11:49:24,person,0.713,0,208,119,446
2025-10-28 11:49:24,chair,0.607,563,295,621,389
2025-10-28 11:49:24,person,0.928,3,1,613,478
2025-10-28 11:49:24,person,0.662,0,207,120,444
2025-10-28 11:49:25,person,0.924,1,0,613,478
2025-10-28 11:49:25,person,0.537,0,204,116,386
2025-10-28 11:49:25,person,0.924,1,0,619,477
2025-10-28 11:49:25,person,0.52,0,208,118,375
2025-10-28 11:49:25,person,0.927,2,0,617,478
2025-10-28 11:49:25,person,0.572,0,207,116,434
2025-10-28 11:49:26,person,0.922,2,1,620,478
2025-10-28 11:49:26,person,0.702,0,204,112,436
2025-10-28 11:49:26,person,0.92,2,1,616,478
2025-10-28 11:49:26,person,0.551,0,206,113,441
2025-10-28 11:49:26,person,0.513,70,192,198,340
2025-10-28 11:49:26,person,0.923,1,0,618,477
2025-10-28 11:49:26,chair,0.506,563,296,619,389
2025-10-28 11:49:26,person,0.913,1,0,615,478
2025-10-28 11:49:26,chair,0.553,562,295,621,390
2025-10-28 11:49:27,person,0.917,3,1,616,478
2025-10-28 11:49:27,chair,0.551,562,294,619,388
2025-10-28 11:49:27,person,0.919,0,1,618,478
2025-10-28 11:49:27,person,0.642,0,203,111,389
2025-10-28 11:49:27,person,0.922,2,1,617,478
2025-10-28 11:49:27,chair,0.575,563,296,618,389
2025-10-28 11:49:28,person,0.917,3,1,615,478
2025-10-28 11:49:28,person,0.791,0,206,110,442
2025-10-28 11:49:28,person,0.921,2,0,615,478
2025-10-28 11:49:28,person,0.693,0,205,111,441
2025-10-28 11:49:28,person,0.913,3,1,624,478
2025-10-28 11:49:28,person,0.606,0,202,109,434
2025-10-28 11:49:28,person,0.915,3,1,618,479
2025-10-28 11:49:28,person,0.731,0,203,107,441
2025-10-28 11:49:28,chair,0.609,562,295,619,389
2025-10-28 11:49:29,person,0.904,1,1,615,477
2025-10-28 11:49:29,person,0.927,3,0,609,478
2025-10-28 11:49:29,person,0.678,0,204,110,451
2025-10-28 11:49:29,chair,0.609,562,296,617,388
2025-10-28 11:49:29,person,0.548,68,189,200,339
2025-10-28 11:49:29,person,0.907,0,0,611,478
2025-10-28 11:49:29,person,0.689,0,203,112,446
2025-10-28 11:49:29,chair,0.524,562,294,619,388
2025-10-28 11:49:30,person,0.913,0,0,606,478
2025-10-28 11:49:30,person,0.737,0,202,119,451
2025-10-28 11:49:30,person,0.916,1,0,607,478
2025-10-28 11:49:30,chair,0.58,562,295,620,389
2025-10-28 11:49:30,person,0.914,1,0,606,478
2025-10-28 11:49:31,person,0.917,0,0,616,478
2025-10-28 11:49:31,person,0.926,1,0,607,478
2025-10-28 11:49:31,person,0.919,1,0,611,479
2025-10-28 11:49:31,person,0.919,0,0,605,479
2025-10-28 11:49:32,person,0.92,0,0,605,479
2025-10-28 11:49:32,person,0.92,2,0,607,478
2025-10-28 11:49:32,person,0.915,1,0,612,478
2025-10-28 11:49:33,person,0.915,2,0,602,478
2025-10-28 11:49:33,person,0.917,2,0,617,479
2025-10-28 11:49:33,person,0.923,2,0,620,478
2025-10-28 11:49:34,person,0.906,1,0,610,479
2025-10-28 11:49:34,person,0.922,1,0,621,479
2025-10-28 11:49:34,person,0.92,1,0,617,479
2025-10-28 11:49:34,person,0.915,1,0,615,478
2025-10-28 11:49:35,person,0.92,1,0,620,478
2025-10-28 11:49:35,person,0.914,2,0,613,478
2025-10-28 11:49:35,person,0.913,0,2,623,478
2025-10-28 11:49:36,person,0.904,1,1,619,478
2025-10-28 11:49:36,person,0.912,1,0,621,479
2025-10-28 11:49:36,person,0.913,1,0,615,479
2025-10-28 11:49:36,person,0.902,2,0,613,478
2025-10-28 11:49:37,person,0.908,1,0,609,478
2025-10-28 11:49:37,person,0.912,1,3,614,478
2025-10-28 11:49:37,person,0.908,1,0,613,479
2025-10-28 11:49:38,person,0.899,0,2,613,478
2025-10-28 11:49:38,person,0.904,2,0,621,479
2025-10-28 11:49:38,person,0.592,86,188,198,315
2025-10-28 11:49:38,person,0.918,1,2,619,479
2025-10-28 11:49:38,person,0.91,0,2,613,478
2025-10-28 11:49:39,person,0.91,0,2,615,479
2025-10-28 11:49:39,person,0.913,0,0,617,479
2025-10-28 11:49:39,person,0.923,3,0,611,479
2025-10-28 11:49:40,person,0.913,1,3,614,479
2025-10-28 11:49:40,person,0.908,2,0,622,478
2025-10-28 11:49:40,person,0.91,2,0,616,478
2025-10-28 11:49:41,person,0.902,1,0,614,479
2025-10-28 11:49:41,person,0.916,0,3,618,479
2025-10-28 11:49:41,person,0.924,1,2,618,479
2025-10-28 11:49:41,person,0.915,1,0,616,479
2025-10-28 11:49:42,person,0.922,0,0,615,478
2025-10-28 11:49:42,person,0.912,3,0,618,479
2025-10-28 11:49:42,person,0.912,0,0,612,479
2025-10-28 11:49:43,person,0.915,1,0,614,479
2025-10-28 11:49:43,person,0.911,0,3,610,479
2025-10-28 11:49:43,person,0.914,1,0,614,478
2025-10-28 11:49:44,person,0.911,3,1,604,479
2025-10-28 11:49:44,person,0.914,1,0,615,479
2025-10-28 11:49:44,person,0.92,0,0,615,479
2025-10-28 11:49:44,person,0.919,0,4,615,479
2025-10-28 11:49:45,person,0.919,1,0,614,478
2025-10-28 11:49:45,person,0.92,0,0,609,479
2025-10-28 11:49:45,person,0.919,0,0,616,479
2025-10-28 11:49:46,person,0.923,2,3,619,478
2025-10-28 11:49:46,person,0.905,0,0,613,479
2025-10-28 11:49:46,person,0.907,1,0,608,479
2025-10-28 11:49:46,person,0.909,0,0,609,479
2025-10-28 11:49:47,person,0.905,0,0,616,479
2025-10-28 11:49:47,person,0.903,1,0,620,478
2025-10-28 11:49:47,person,0.9,0,0,610,479
